Core checksum filename	Core checksum
O13-10_S9_L007_R1_001.fastq.gz	b48aa2abdf4270a60d45d487db7e3040
O13-10_S9_L008_R1_001.fastq.gz	c5eafbb8ec148583182c285e6710a4a8
O13-11_S10_L005_R1_001.fastq.gz	a2e36c355eada40dccf9211706da4007
O13-11_S10_L006_R1_001.fastq.gz	42a679167728286c30fb51e964b65ea0
O13-11_S10_L007_R1_001.fastq.gz	f56b3f353b097133d3d079d6a9f21f16
O13-11_S10_L008_R1_001.fastq.gz	a95547d64051be3f5bcdb4c0eb9a19a4
O13-12_S14_L005_R1_001.fastq.gz	ac03f6277d58b7dd6d73988baa465c83
O13-12_S14_L006_R1_001.fastq.gz	65da14668aa219e74c24255b15773ad6
O13-12_S14_L007_R1_001.fastq.gz	21384b31026fd5bbd542a6f7e71e93d6
O13-12_S14_L008_R1_001.fastq.gz	a77f157818398f280550bea6dddc0184
O13-13_S8_L001_R1_001.fastq.gz	46c7bbb1a305369f89b4d8753a3a09c5
O13-13_S8_L002_R1_001.fastq.gz	00ca0b690cbfffcd7d97765fb27e2a59
O13-13_S8_L003_R1_001.fastq.gz	49107e253c87642c363881528d878e5a
O13-13_S8_L004_R1_001.fastq.gz	68a626f00aac17ff96ce6583f11d9d08
O13-14_S3_L001_R1_001.fastq.gz	df603f576e147e4a38018cb831ed6eb9
O13-14_S3_L002_R1_001.fastq.gz	62631885b9afdf404999fd327601beca
O13-14_S3_L003_R1_001.fastq.gz	6075744a881a7e87d65249ab4a98d642
O13-14_S3_L004_R1_001.fastq.gz	0d4b475db2aff9482edff3c0b54087a6
O13-15_S13_L005_R1_001.fastq.gz	915833aa82a85dc7ff0da8f3aacdbaa8
O13-15_S13_L006_R1_001.fastq.gz	d9d3cc210d1d943898447b9cde027741
O13-15_S13_L007_R1_001.fastq.gz	9e99ef1f6752635beec477ca267e1afc
O13-15_S13_L008_R1_001.fastq.gz	41eec08b9a3102d155624711dd573ad4
O13-16_S4_L001_R1_001.fastq.gz	bf67c774a0ba435cd8fa66dca80db839
O13-16_S4_L002_R1_001.fastq.gz	9909cdcbdee25359abb8978b0b5217d9
O13-16_S4_L003_R1_001.fastq.gz	ffd9393991f2b016483bfcc8b700fd1b
O13-16_S4_L004_R1_001.fastq.gz	e3e7180e060a9bed8394511a5da2bd3b
O13-1_S16_L005_R1_001.fastq.gz	20b187aee7e8dce06a805f9c8424cb7b
O13-1_S16_L006_R1_001.fastq.gz	3abf10e5d09ece9ccd77b52331fe8409
O13-1_S16_L007_R1_001.fastq.gz	8019e502d9321fb465a5081263415493
O13-1_S16_L008_R1_001.fastq.gz	8906f9321d9ca502d3b5288fd373ce18
O13-2_S13_L005_R1_001.fastq.gz	09c97316f40ed53a1468a8be5fce96c5
O13-2_S13_L006_R1_001.fastq.gz	a57681ca8b01860b6e60652770640d30
O13-2_S13_L007_R1_001.fastq.gz	d61ac0408ab33d0fe4aa2cb8f1c94492
O13-2_S13_L008_R1_001.fastq.gz	88fcad071cae6fb53fcf8755680049c0
O13-3_S3_L001_R1_001.fastq.gz	54a64b34cf3261d65fac02635c268c43
O13-3_S3_L002_R1_001.fastq.gz	883ff6d8d103cd4d4fba0b1c4ac4c9dd
O13-3_S3_L003_R1_001.fastq.gz	b3eafde4c80006dc29441ed47d6d6e58
O13-3_S3_L004_R1_001.fastq.gz	7bcbd3dc97d2445fc366688b3b5a81fb
O13-4_S7_L001_R1_001.fastq.gz	06626dfe31bbdfb7d91e27dc135b85dd
O13-4_S7_L002_R1_001.fastq.gz	0408d6498660fc0dd4dedddbb33c6d78
O13-4_S7_L003_R1_001.fastq.gz	e51633d68c50f4f1a9f4db69646749ce
O13-4_S7_L004_R1_001.fastq.gz	94ecb67431d114a022c9be1b5dd47425
O13-5_S2_L001_R1_001.fastq.gz	0820adab44fbdae852a2cda1367721b8
O13-5_S2_L002_R1_001.fastq.gz	bee69495c4c1449c3da98cb67e2c0eb2
O13-5_S2_L003_R1_001.fastq.gz	3cafbc042fe074f5fd8888e458e4b4ee
O13-5_S2_L004_R1_001.fastq.gz	84eb9a023ce2f745cc75a8725e62f329
O13-6_S12_L005_R1_001.fastq.gz	ed71e3d4c8709d6679c7c83733a07ea8
O13-6_S12_L006_R1_001.fastq.gz	21defa5d2e93d18ad8124839e582a6de
O13-6_S12_L007_R1_001.fastq.gz	3e08fd98ac81c35d3ee1867b17333742
O13-6_S12_L008_R1_001.fastq.gz	43296ec139ed712a684811f89e46b0c6
O13-7_S9_L005_R1_001.fastq.gz	ca098ded9c4b4cb726308475b512f05e
O13-7_S9_L006_R1_001.fastq.gz	24dd48ca7805392d7cebccca9557f09c
O13-7_S9_L007_R1_001.fastq.gz	acd51e771f0c606ce736aa5f401408a4
O13-7_S9_L008_R1_001.fastq.gz	a01ee7766fd0dea0a1bacacac76b8942
O13-8_S6_L001_R1_001.fastq.gz	730fd6f13f075656abbc8af24df2e734
O13-8_S6_L002_R1_001.fastq.gz	12661563505371414b6606e9331455c9
O13-8_S6_L003_R1_001.fastq.gz	648ee8dca5ffd22d06fd30efedc80981
O13-8_S6_L004_R1_001.fastq.gz	308c9704152c250c47ec2d4c4c9e63ae
